Accounting,ACCT201,ACCT202,BUSN231,CPSC215,ECON201,ECON202,MATH125,PHIL207,BUSN276L,BUSN300,BUSN304,BUSN305,BUSN370,BUSN311,BUSN323,BUSN351,BUSN418,ACCT301,ACCT302,ACCT303,ACCT401,ACCT405,ACCT406W,,,,,,,,,,
AppliedPhysics,CPEN214,CPSC150,CPSC150L,CPSC250,CPSC250L,PHYS201,PHYS201L,PHYS202,PHYS202L,PHYS301,PHYS303,PHYS304,PHYS340,PHYS341,PHYS351,PHYS402,PHYS406,ENGR211,ENGR211L,MATH240,MATH250,MATH320,PCSE498W,,,,,,,,,,
Biochemistry,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,MATH240,PHYS201,PHYS201L,PHYS202,PHYS202L,CHEM341,CHEM391W,CHEM361,CHEM361L,BIOL211,BIOL211L,BIOL307,BIOL307L,BIOL313,BIOL412,BIOL412L,BCHM414,BCHM414L,BCHM415,BCHM415L,,,,,
Biology,BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,BIOL391W,BIOL491W,CHEM103,CHEM103L,CHEM104,CHEM104L,MATH125,,,,,,,,,,,,,,,,,,,,
"Biology-Cellular, Molecular, Physiological",BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,MATH125,PHYS151,PHYS151L,PHYS152,PHYS152L,,,,,,,,,,,,,,
Biology-Enviornmental,BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,MATH125,PHYS151,PHYS151L,PHYS152,PHYS152L,BIOL391W,BIOL491W,,,,,,,,,,,,
Biology-Integrative,BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,MATH125,PHYS151,PHYS151L,PHYS152,PHYS152L,BIOL391W,BIOL491W,,,,,,,,,,,,
Biology-Organismal,BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,MATH125,PHYS151,PHYS151L,PHYS152,PHYS152L,BIOL391W,BIOL491W,,,,,,,,,,,,
Chemistry,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,MATH240,PHYS201,PHYS201L,PHYS202,PHYS202L,CHEM341,CHEM342,CHEM342L,CHEM361,CHEM361L,CHEM445,CHEM445L,CHEM401,CHEM401L,CHEM391W,CHEM492W,,,,,,,,,
CommunicationStudies,COMM201,COMM211,COMM222,COMM249,COMM352W,COMM452W,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputerEngineering,CHEM121,CHEM121L,CHEM122,CHEM122L,PHYS201,PHYS201L,PHYS202,PHYS202L,MATH240,MATH320,ENGR121,ENGR211,ENGR211L,ENGR212,ENGR212L,ENGR213,ENGR340,CPEN214,CPEN315,CPEN315L,CPEN371W,CPEN414,CPEN431,CPEN498W,CPSC150,CPSC150L,CPSC250,CPSC250L,CPSC255,CPSC270,CPSC327,CPSC410,CPSC420
ComputerScience,CPEN214,CPEN371W,CPSC150,CPSC150L,CPSC250L,CPSC250L,CPSC255,CPSC270,CPSC280,CPSC327,CPSC360,CPSC410,CPSC420,MATH240,PHYS341,ENGR213,CPSC498,,,,,,,,,,,,,,,,
Econimics-MathematicalEconomics,MATH125,ECON201,ECON202,CPSC215,ECON300,ECON303,ECON304,ECON485,ECON490W,MATH240,MATH250,MATH260,MATH320,,,,,,,,,,,,,,,,,,,,
Economics,MATH125,ECON201,ECON202,CPSC215,ECON300,ECON303,ECON304,ECON485,ECON490W,,,,,,,,,,,,,,,,,,,,,,,,
ElectricalEngineering,CHEM121,CHEM121L,CHEM122,CHEM122L,PHYS201,PHYS201L,PHYS202,PHYS202L,PHYS341,MATH240,MATH320,CPSC150,CPSC150L,CPSC250,CPSC250L,CPSC327,CPEN214,CPEN371W,ENGR121,ENGR211,ENGR211L,ENGR212,ENGR212L,ENGR340,EENG221,EENG311,EENG311L,EENG321,EENG321L,EENG361,EENG361L,EENG498W,
English,ENGL200,ENGL201,ENGL202,ENGL308W,ENGL490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English-Literature,ENGL200,ENGL201,ENGL202,ENGL308W,ENGL490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English-Writing,ENGL200,ENGL201,ENGL202,ENGL308W,ENGL490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnviornmentalStudies,BIOL212,BIOL212L,CHEM111L,ECON203,EVST220,LDSP250,MATH125,ENGL393,PHIL376,POLS371W,IDST490,,,,,,,,,,,,,,,,,,,,,,
Finance,ACCT201,ACCT202,BUSN231,CPSC215,ECON201,ECON202,MATH125,PHIL207,BUSN276L,BUSN300,BUSN304,BUSN305,BUSN370,BUSN311,BUSN323,BUSN351,BUSN418,FINC324,FINC325,FINC422,FINC425,FINC428W,,,,,,,,,,,
FineandPerformingArts-ArtHistory,FNAR117,FNAR118,FNAR201,FNAR202,FNAR490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FineandPerformingArts-StudioArt,FNAR117,FNAR118,FNAR121,FNAR128,FNAR201,FNAR202,FNAR288,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeignLanguageandLiteratures-ClassicalLanguages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeignLanguageandLiteratures-ClassicalStudies,CLST101,CLST201,CLST211,CLST212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeignLanguageandLiteratures-French,MLAN310W,MLAN490W,FREN310,FREN351,FREN352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeignLanguageandLiteratures-German,MLAN310W,MLAN490W,GERM301,GERM303,GERM311,GERM312,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeignLanguageandLiteratures-Spanish,MLAN310W,MLAN490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History,HIST300W,HIST490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InformationScience,CPSC150,CPSC150L,CPSC250,CPSC250L,MATH125,ACCT200,ECON201,ECON202,BUSN303,PSYC202,CPSC445W,CPSC215,CPSC216,CPSC335,CPSC350,CPSC351,CPSC440,CPEN371W,,,,,,,,,,,,,,,
InterciciplinaryStudies,IDST490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterciciplinaryStudies-ConstitutionalStudies,AMST100,AMST200,AMST300,AMST490W,POLS316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterciciplinaryStudies-Humanities,AMST100,AMST200,AMST300,AMST490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterciciplinaryStudies-SocialScience,AMST100,AMST200,AMST300,AMST490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,ACCT201,ACCT202,BUSN231,CPSC215,ECON201,ECON202,MATH125,PHIL207,BUSN276L,BUSN300,BUSN304,BUSN305,BUSN370,BUSN311,BUSN323,BUSN351,BUSN418,MGMT310,MGMT355,MGMT400,MGMT410,MGMT491W,,,,,,,,,,,
Marketing,ACCT201,ACCT202,BUSN231,CPSC215,ECON201,ECON202,MATH125,PHIL207,BUSN276L,BUSN300,BUSN304,BUSN305,BUSN370,BUSN311,BUSN323,BUSN351,BUSN418,MKTG310,MKTG330W,MKGT455,MKGT460,MKGT470,,,,,,,,,,,
Mathematics-BA,MATH240,MATH245,MATH250,MATH260,MATH360,MATH370,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics-BS,MATH240,CPSC150,CPSC150L,PHYS201,PHYS201L,PHYS202,PHYS202L,MATH245,MATH250,MATH260,MATH360,MATH370,MATH375,,,,,,,,,,,,,,,,,,,,
Mathematics-ComputationalandAppliedBiologyandLifeSciences,MATH240,MATH250,MATH260,MATH320,MATH360,MATH440,CPSC150,CPSC150L,BIOL211,BIOL211L,BIOL213,BIOL213L,BIOL326,CHEM121,CHEM121L,CHEM122,CHEM122L,,,,,,,,,,,,,,,,
Mathematics-ComputationalandAppliedEconomics,MATH240,MATH250,MATH260,MATH320,MATH360,MATH440,CPSC150,CPSC150L,ECON201,ECON202,ECON485,ACCT200,FINC300,,,,,,,,,,,,,,,,,,,,
"Mathematics-ComputationalandAppliedPhysics,Dynamics,andEngineering",MATH240,MATH250,MATH260,MATH320,MATH360,MATH440,CPSC150,CPSC150L,PHYS201,PHYS201L,PHYS202,PHYS202L,PHYS303,PHYS340,,,,,,,,,,,,,,,,,,,
Music-Composition,MUSC125,MUSC200,MUSC306,MUSC411,MUSC413,MUSC415,MUSC014,MUSC220,MUSC230,MUSC240,MUSC250,MUSC012,,,,,,,,,,,,,,,,,,,,,
Music-CreativeStudies,MUSC492,MUSC125,MUSC200,MUSC306,MUSC315,MUSC417,BUSN302,MUSC014,MUSC012,MUSC104,,,,,,,,,,,,,,,,,,,,,,,
Music-MusicStudies,MUSC492,MUSC125,MUSC200,MUSC306,MUSC014,MUSC012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music-Performance,MUSC125,MUSC200,MUSC306,MUSC012,MUSC014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music-Pre-CertificationChoral,MUSC125,MUSC200,MUSC306,MUSC314,MUSC220,MUSC230,MUSC240,MUSC250,MUSC260,MUSC265,MUSC266,MUSC137,MUSC337W,MUSC415,MUSC510,MUSC518,MATH125,PSYC312,SOCL314,CPSC110,THEA232,MUSC012,MUSC014,,,,,,,,,,
Music-Pre-CertificationInstrumental,MUSC125,MUSC200,MUSC306,MUSC316,MUSC220,MUSC230,MUSC240,MUSC250,MUSC260,MUSC137,MUSC337W,MUSC415,MUSC510,MUSC517,MATH125,PSYC312,SOCL314,CPSC110,THEA232,MUSC012,MUSC014,,,,,,,,,,,,
Neuroscience,NEUR 201,NEUR301W,NEUR301L,NEUR305,NEUR316,NEUR410,NEUR420,NEUR490W,BIOL211,BIOL211L,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,PHYS151,PHYS151L,MATH125,,,,,,,,,,,,,,
Philosophy,PHIL101,PHIL205,PHIL451,PHIL490W,PHIL201,PHIL202,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophy-Pre-SeminaryStudies,PHIL101,PHIL205,PHIL451,PHIL490W,RSTD361,RSTD362,RSTD491,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophy-ReligiousStudies,PHIL101,PHIL205,PHIL451,PHIL490W,RSTD211,RSTD212,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoliticalScience,POLS100,POLS101,POLS215,POLS352,POLS490W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycology-BA,MATH125,PSYC201,PSYC202,PSYC300,PSYC301W,PSYC301L,PSYC306,PSYC490W,,,,,,,,,,,,,,,,,,,,,,,,,
Psycology-BS,MATH125,PSYC201,PSYC202,PSYC300,PSYC301W,PSYC301L,PSYC306,PSYC490W,,,,,,,,,,,,,,,,,,,,,,,,,
SocialWork,BIOL109L,MATH125,PSYC201,SOCL201,SOCL316,SOCL340,SOWK201,SOWK210,SOWK211,SOWK301,SOWK301L,SOWK302,SOWK303,SOWK366,SOWK401,SOWK402W,SOWK493,SOWK498,,,,,,,,,,,,,,,
Sociology,MATH125,SOCL205,SOCL340,SOCL390,SOCL470W,SOCL490W,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sociology-Criminology,MATH125,SOCL205,SOCL340,SOCL390,SOCL470W,SOCL490W,SOCL321,SOCL335,SOCL491,,,,,,,,,,,,,,,,,,,,,,,,
Sociology-Anthropology,MATH125,ANTH200,ANTH203,SOCL205,SOCL340,SOCL390,SOCL470W,SOCL490W,,,,,,,,,,,,,,,,,,,,,,,,,
Theater-Acting,THEA232,THEA250,THEA252,THEA310,THEA311,THEA498,THEA250L,THEA332,THEA333,THEA334,THEA430,,,,,,,,,,,,,,,,,,,,,,
Theater-ArtsAdministration,THEA232,THEA250,THEA252,THEA310,THEA311,THEA498,THEA250L,THEA200L,THEA200,THEA451,THEA492,ACCT201,BUSN302,ENGL353W,ENGL454W,LDSP240,,,,,,,,,,,,,,,,,
