AfricanAmericanStudies,ENGL345,HIST349,HIST355,HIST341,PHIL252,SOCL316,,
AsianStudies,CHIN101,CHIN102,IDST205,,,,,
AmericanStudies,AMST100,AMST200,AMST300,,,,,
Anthropology,ANTH200,ANTH203,,,,,,
AppliedPhysics,PHYS201,PHYS201L,PHYS202,PHYS202LPHYS303,PHYS351,,,
ArtHistory,FNAR201,FNAR202,,,,,,
AsianStudies,,,,,,,,
Biology,BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,,
BuisnessAdministration,BUSN231,ECON201,ECON202,BUSN303,FINC300,,,
Chemistry,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L
ChildhoodStudies,IDST210,,,,,,,
CivicEngagementandSocialJustice,IDST250,ENGL454W,IDST470,,,,,
ClassicalStudies,,,,,,,,
CommunicationStudies,COMM201,,,,,,,
ComputerScience,CPSC150,CPSC150L,CPSC250,CPSC250L,,,,
Dance,,,,,,,,
DigitalHumanities,IDST270,CPSC140,CPSC216,,,,,
DiscreteMathematics,MATH140,MATH245,,,,,,
Economics,ECON201,ECON202,ECON300,ECON303,ECON304,,,
English,,,,,,,,
EnvironmentalStudies,CHEM111L,EVST220,,,,,,
FilmStudies,ENGL356W,,,,,,,
French,,,,,,,,
German,,,,,,,,
GraphicDesign,FNAR118,FNAR128,FNAR334,FNAR335,FNAR336,,,
GreekStudies,GREK101,GREL102,GREL201,,,,,
History,,,,,,,,
HumanRightsandConflictResolution,POLS215,POLS322,POLS329,SOCL201,,,,
InformationScience,CPSC215,CPSC150,CPSC150L,CPSC250L,CPSC250L,CPSC335,CPSC350,CPSC351
InternationalCultureandBuisness,MLAN308,BUSN303,,,,,,
Judeo-ChristianStudies,RSTD232,RSTD265,,,,,,
Latin,,,,,,,,
LatinAmericanStudies,IDST267,,,,,,,
LeadershipStudies,LDPS210,LDPS240,LDSP320,LDSP386,,,,
Linguistics,ENGL310,ENGL331,FREN301,GERM301,LATN200,SPAN301,,
Literature,,,,,,,,
Mathematics,MATH240,MATH260,,,,,,
MedivalandRenaissannceStudies,IDST240,,,,,,,
MiddleEastandNorthAfricaStudies,ARAB101,ARAB102,IDST265,,,,,
MilitaryScience,MLSC301,MLSC302,MLSC401,MLSC402,,,,
MuseumStudies,IDST277,IDST377,,,,,,
PhilosophyandReligion,,,,,,,,
PhilosophyofLaw,PHIL205,PHIL321W,PHIL425,POLS316,,,,
PhotographyandVideoArt,FNAR227,FNAR205,,,,,,
PoliticalScience,POLS215,,,,,,,
Psycology,PYSC201,PYSC202,,,,,,
Sociology,SOCL201,SOCL205,,,,,,
Spanish,,,,,,,,
StudioArt,FNAR117,FNAR118,FNAR201,FNAR202,,,,
Theater,THEA232,THEA310,,,,,,
U.S.NationalSecurityStudies,AMST100,POLS215,,,,,,
Women'sandGenderStudies,IDST255,,,,,,,
Writing,,,,,,,,
